${status},$ {الحالة}
Consent Required,الموافقة المطلوبة
Could not add conferencing to this Appointment,لا يمكن إضافة لقاء فيديو لهذا الموعد
Create ABHA,إنشاء ABHA
Create Nursing Tasks,إنشاء مهام التمريض
Create Slots,إنشاء مواعيد
Create and link a service item to be billed for Out Patient Consulting.,قم بإنشاء وربط عنصر خدمة ليتم إصداره للاستشارات الخارجية للمريض.
Create and link the document to complete this task,إنشاء وربط المستند لإكمال هذه المهمة
Default Google Calendar,تقويم جوجل الافتراضي
Default duration which the task can take to complete,المدة الافتراضية التي يمكن أن تستغرقها المهمة لإكمالها
Denied,مرفوض
Descriptive Result,نتيجة وصفية
Discharge Details,تفاصيل خروج المريض
Discharge Nursing Checklist Template,قالب قائمة مراجعة التمريض خروج المريض
Do not add Video Conferencing,لا تضيف لقاء الفيديو
DocName,اسم المستند 
Entered in Error,تم إدخاله عن طريق الخطأ
External,خارجي
Failed to fetch health Data,فشل في جلب البيانات الصحية
For use while scheduling tele-consultations via Google Meet,للاستخدام أثناء جدولة التوافقات عن بعد عبر اجتماع جوجل
From Sister Clinic,من عيادة شقيقة
Gateway Name,اسم البوابة
Generating OTP...,توليد OTP ...
Google Calendar Required,تقويم جوجل مطلوب
Google Meet Link,رابط اجتماع جوجل
Granted,تم المنح
Health ID Service,خدمة الهوية الصحية
If checked,إذا تم فحصه
Imaging,التصوير
Inpatient Consulting Charge is mandatory if you are setting Inpatient Consulting Charge Item,تعتبر رسوم الاستشارات  للمرضى الداخليين إلزامية إذا كنت تقوم بتعيين عنصر رسوم الاستشارات الداخلية للمرضى الداخليين
Internal,داخلي
Investigations,الفحوصات
Join video conference with {0},انضم إلى لقاء الفيديو مع {0}
Link existing Item,ربط العنصر الحالي
Link the Google Calendar created and Authorized by the practitioner,اربط تقويم جوجل الذي تم إنشاؤه ومصرح به من قبل الطبيب
Log out,تسجيل خروج
Maximum Appointments,أقصى عدد مواعيد
Maximum Number of Appointments (Nos),الحد الأقصى لعدد المواعيد 
Maximum appointments cannot be more than {0} in row #{1},لا يمكن أن يكون عدد المواعيد الأقصى أكثر من {0} في الصف #{1}
New ${frm.doc.task_doctype},جديد $ {frm.doc.task_doctype}
No Data...,لايوجد بيانات...
Not Allowed to 'Complete' Nursing Task without linking Task Document,غير مسموح له بـ "إكمال" مهمة التمريض دون ربط مستند المهام
Not Allowed to cancel Nursing Task with status 'Completed',غير مسموح به لإلغاء مهمة التمريض مع الحالة "مكتملة"
Nursing Checklist Template Task,نموذج قوائم مهام التمريض
Nursing Task cannot be 'Draft' after submission,لا يمكن أن تكون مهمة التمريض "مسودة" بعد الإعتماد
Nursing Tasks Created,مهام التمريض التي تم إنشاؤها
OP & IP,المرضى ( داخلي - خارجي)
OTP Generation Failed,فشل جيل OTP
Obese,السمنة
Outpatient Consulting Charge is mandatory if you are setting Outpatient Consulting Charge Item,تعتبر رسوم استشارات العيادات الخارجية إلزامية إذا كنت تقوم بتعيين عنصر رسوم الاستشارات الخارجية
Outpatient Settings,إعدادات العيادات الخارجية
Overweight,زيادة الوزن
Patient <b>{0}</b> is not linked to a Customer,المريض <b> {0} </b> غير مرتبط بالعميل
Patient Consent Template,قالب موافقة المريض
Patient already exist,المريض موجود بالفعل
Patient already has an appointment booked for the same day!,المريض لديه بالفعل موعد تم حجزه في نفس اليوم!
Patient already has an appointment {} booked for {} on {},المريض لديه بالفعل موعد {} تم حجزه لـ {} على {}
Patient has fee validity till,المريض له كشف مجانى حتي
Patient has no fee validity,المريض ليس له كشف مجانى 
Please complete linked Nursing Tasks before submission: {},يرجى إكمال مهام التمريض المرتبطة قبل الإعتماد : {}
Please enter {},رجاء ادخال {}
Position In Queue,رقمك في قائمة الانتظار
Post-Op,بعد العملية
Post-op Nursing Checklist Template,نموذج قوائم مهام التمريض بعد العملية
Practitioner Primary Address,عنوان الطبيب الأساسي
Practitioner Primary Contact,التواصل الأساسي للطبيب 
Practitioner Schedule:,جدول الطبيب:
Practitioner Type,نوع الطبيب
Pre-Op,قبل العملية
Pre-op Nursing Checklist Template,نموذج قوائم مهام التمريض قبل العملية
Primary Address and Contact,العنوان الأساسي والاتصال
Quantity not available for the following items in warehouse {0}.,الكمية غير متوفرة للعناصر التالية في المخزن {0}.
Radiology,الأشعة
Ready,مستعد
Reason for Cancellation,سبب الالغاء
Request Date,تاريخ الطلب
Request Name,إسم الطلب
Requested End Time,وقت الانتهاء المطلوب
Requested Start Time,وقت البدء المطلوب
Resend OTP,إعادة إرسال كلمة المرور لمرة واحدة
Schedules for {0} overlaps,جدولة الموعيد المكرره {0}
Select,يختار
Sending OTP...,إرسال OTP ...
Service Unit:,وحدة الخدمة:
Show Payment Popup,عرض شاشة الدفع
Stock Consumption,استهلاك المخزون
Surgery,الجراحة
Surgery Rate,سعر الجراحة
System will validate if a document of this type is created and linked before completing the Nursing Task - for example,سيقوم النظام بالتحقق من صحة ما إذا تم إنشاء مستند من هذا النوع وربطه قبل إكمال مهمة التمريض - على سبيل المثال
Task Details,تفاصيل المهمة
Task DocType,مهام المستند
Task Doctype,مهام المستند
Task Document Name,اسم وثيقة المهمة
Task Duration,مدة المهمة
Task End Time,وقت نهاية المهمة
Task Resolution,حل المهام
Task Schedule,جدول المهام
Task Start Time,وقت بدء المهمة
Template Details,تفاصيل النموذج
The time duration before or after the event on which the Nursing Task is to be performed. The Nursing Task start time will be set based on this.,مدة الوقت قبل أو بعد الحدث الذي سيتم تنفيذ مهمة التمريض عليه. سيتم تعيين وقت بدء مهمة التمريض بناءً على هذا.
Time Offset,إزاحة الوقت
URI,أوري
Underweight,نقص الوزن
Update Status,تحديث الحالة
Validate Nursing Checklists,التحقق من صحة قوائم مهام التمريض
all mandatory tasks in nursing checklist to be Completed before a Patient transactional event.,يتحقق من صحة جميع المهام الإلزامية في قائمة مهام التمريض ليتم الانتهاء منها قبل حدث معاملات المريض.
all mandatory tasks in nursing checklist to be Completed before a Patient transactional event. For example,يتحقق من صحة جميع المهام الإلزامية في قائمة مهام التمريض ليتم الانتهاء منها قبل حدث معاملات المريض. على سبيل المثال
Verification Failed,فشل التحقق
Video Conferencing disabled for group consultations,تعطيل لقاء الفيديو للمشاورات الجماعية
Video conferencing enabled for {},تمكين لقاء الفيديو لـ {}
While booking tele-consultation appointments via Google Meet,أثناء حجز مواعيد استجابة عن بعد عبر Google Meet
Worksheet & Legend,أوراق العمل
last Name,اسم العائلة
validate_nursing_checklists,التحقق من صحة قوائم المهام
{0},{0}
{0} - {1},{0} - {1}
{0} at {1},{0} في {1}
{0} is a holiday,{0} أجازة
Healthcare,الرعاية الصحية
Select, to make the practitioner searchable with these fields,اختر لجعل الطبيب قابلا للبحث في هذه الحقول
Discharge Ordered DateTime ,تاريخ ووقت أمر الخروج
Schedule Discharge,الجدول الزمني للخروج
Clinical Procedure,اجراء العمليات
Clinical Procedures,اجراء العمليات
list,قائمة
Nursing Tasks,مهام التمريض
Encounter Time,وقت الكشفية
Encounter Date,تاريخ الكشفية
Healthcare Practitioner (Secondary),طبيب الرعاية الصحية
Patient Companions Details,تفاصيل
ID Number,رقم الهوية
Rrelative Relation,العلاقة
Patient's Companions,المرافقين للمريض
Discharge Notes,ملاحظات الخروج
Discharge Date,تاريخ الخروج
Discharge Instructions,تعليمات الخروج
Discharged,الخروج
Cannot mark Inpatient Record as Discharged since there are unbilled services.,لا يمكن وضع علامة على سجل المرضى الداخليين على أنه تم خروجه لوجود خدمات غير مسددة
Expected Discharge,الخروج المتوقع
Requesting Practitioner,الطبيب
Healthcare Practitioner,طبيب الرعاية الصحية
Practitioner Name,اسم الطبيب
"If checked, a customer will be created for every Patient. Patient Invoices will be created against this Customer. You can also select existing Customer while creating a Patient. This field is checked by default.",الااا
Healthcare Practitioner (Primary), طبيب رعاية صحية (ابتدائي) 
Referring Practitioner,الطبيب
Complaints,الاعراض
Antibiotic Name,اسم الدواء
Practitioner Schedules,جدول الطبيب
Occupation,الاشغال
Lab Test,فحص المختبر
Lab Test UOM,وحدة اختبار المختبر 
Patient Encounter,كشفية المريض
Appointment Type,نوع الحجز
Fee Validity,المراجعات
Patient Appointment,حجز المريض
Antibiotic,الادوية
Diagnosis,الامراض
Complaint,الاعراض
Diagnosis Trends,اتجاهات التشخيص
Healthcare Activity,نشاط الرعاية الصحية
Nursing Task,مهمة التمريض
Nursing Checklist Template,نموذج قائمة مراجعة التمريض
Nursing,التمريض
Rehabilitation and Physiotherapy,التأهيل والعلاج الطبيعي
Inpatient,المرضى الداخليين
Facility Management,ادارة الوحدات
Patient History Settings,إعدادات تاريخ المريض
Treatment Plan Template,نموذج خطة العلاج
Vital Signs,الكشف المبدئي
Practitioner Schedule,جدول الطبيب
Clinical Procedure Template,نموذج اجراء العمليات
Patient,مريض
Company,المستشفى
